uid,domain_group,domain_method
1b0z3nx3,domain_02,kmeans_standardized_geometry_v1
9rbsv55p,domain_02,kmeans_standardized_geometry_v1
sq0oxfq8,domain_02,kmeans_standardized_geometry_v1
myx444nl,domain_02,kmeans_standardized_geometry_v1
z15bcw79,domain_02,kmeans_standardized_geometry_v1
0pdw5py6,domain_02,kmeans_standardized_geometry_v1
b2knftu2,domain_02,kmeans_standardized_geometry_v1
gc5wi6fq,domain_02,kmeans_standardized_geometry_v1
jja26yfp,domain_02,kmeans_standardized_geometry_v1
mvxpj4hn,domain_02,kmeans_standardized_geometry_v1
riuu9k9x,domain_02,kmeans_standardized_geometry_v1
juy0bvr6,domain_02,kmeans_standardized_geometry_v1
k2vmwwyz,domain_02,kmeans_standardized_geometry_v1
x4w6xlpu,domain_02,kmeans_standardized_geometry_v1
0dk0get8,domain_02,kmeans_standardized_geometry_v1
t63j3r30,domain_02,kmeans_standardized_geometry_v1
me8f8409,domain_02,kmeans_standardized_geometry_v1
82n2atqy,domain_02,kmeans_standardized_geometry_v1
yv37dia5,domain_02,kmeans_standardized_geometry_v1
u6hc36ko,domain_02,kmeans_standardized_geometry_v1
f8krd5eq,domain_02,kmeans_standardized_geometry_v1
y08p0fod,domain_02,kmeans_standardized_geometry_v1
ro8bnp84,domain_02,kmeans_standardized_geometry_v1
dyt9moge,domain_02,kmeans_standardized_geometry_v1
4qxxva2i,domain_02,kmeans_standardized_geometry_v1
euc1hh5l,domain_02,kmeans_standardized_geometry_v1
f6a4fejg,domain_02,kmeans_standardized_geometry_v1
xaa2ilgb,domain_02,kmeans_standardized_geometry_v1
0s0r2sds,domain_02,kmeans_standardized_geometry_v1
8b25sq8c,domain_02,kmeans_standardized_geometry_v1
royr6ccv,domain_02,kmeans_standardized_geometry_v1
cjwtl9tq,domain_02,kmeans_standardized_geometry_v1
vdz4x1zh,domain_02,kmeans_standardized_geometry_v1
qimqodpx,domain_02,kmeans_standardized_geometry_v1
nf7c3dd0,domain_02,kmeans_standardized_geometry_v1
3uvulemx,domain_01,kmeans_standardized_geometry_v1
15z8vmuh,domain_01,kmeans_standardized_geometry_v1
xid4n1u3,domain_01,kmeans_standardized_geometry_v1
493wxa73,domain_01,kmeans_standardized_geometry_v1
jgzlma5u,domain_01,kmeans_standardized_geometry_v1
ofwb0hpm,domain_01,kmeans_standardized_geometry_v1
nz1udbfw,domain_01,kmeans_standardized_geometry_v1
yjxrpj1e,domain_01,kmeans_standardized_geometry_v1
pkyrybov,domain_01,kmeans_standardized_geometry_v1
akhejla0,domain_01,kmeans_standardized_geometry_v1
gnzs43c5,domain_03,kmeans_standardized_geometry_v1
ba75uuzp,domain_03,kmeans_standardized_geometry_v1
eal2w37d,domain_03,kmeans_standardized_geometry_v1
4ivsolml,domain_03,kmeans_standardized_geometry_v1
gses6m03,domain_01,kmeans_standardized_geometry_v1
3ifhv1xg,domain_03,kmeans_standardized_geometry_v1
1r11q7uw,domain_03,kmeans_standardized_geometry_v1
w5wfcpkj,domain_03,kmeans_standardized_geometry_v1
cslqc3c5,domain_03,kmeans_standardized_geometry_v1
4wsqt26q,domain_01,kmeans_standardized_geometry_v1
3xlrfcd6,domain_03,kmeans_standardized_geometry_v1
mzsgipps,domain_01,kmeans_standardized_geometry_v1
fnkomv2x,domain_01,kmeans_standardized_geometry_v1
cdyk0x65,domain_01,kmeans_standardized_geometry_v1
mufm8zov,domain_01,kmeans_standardized_geometry_v1
7ln23y30,domain_01,kmeans_standardized_geometry_v1
ysxpnngh,domain_01,kmeans_standardized_geometry_v1
8riec4d1,domain_01,kmeans_standardized_geometry_v1
45bm1enf,domain_01,kmeans_standardized_geometry_v1
313fpoyi,domain_01,kmeans_standardized_geometry_v1
pk0qtl3q,domain_01,kmeans_standardized_geometry_v1
4n89qkns,domain_01,kmeans_standardized_geometry_v1
832ejx5t,domain_01,kmeans_standardized_geometry_v1
d44k1j6f,domain_03,kmeans_standardized_geometry_v1
p8hqmabs,domain_03,kmeans_standardized_geometry_v1
i9nb74x2,domain_03,kmeans_standardized_geometry_v1
ek3zezqa,domain_03,kmeans_standardized_geometry_v1
cj4t0sek,domain_01,kmeans_standardized_geometry_v1
kbp2qd6v,domain_03,kmeans_standardized_geometry_v1
asifpwio,domain_01,kmeans_standardized_geometry_v1
xd9css9t,domain_01,kmeans_standardized_geometry_v1
oqw9ja2m,domain_01,kmeans_standardized_geometry_v1
0w10lbt3,domain_03,kmeans_standardized_geometry_v1
g2qzw3c1,domain_01,kmeans_standardized_geometry_v1
qkbhb7s9,domain_01,kmeans_standardized_geometry_v1
t64z7w2s,domain_01,kmeans_standardized_geometry_v1
ehe2atn2,domain_01,kmeans_standardized_geometry_v1
twdl9zs1,domain_01,kmeans_standardized_geometry_v1
3c9xqym5,domain_01,kmeans_standardized_geometry_v1
2xg8p6be,domain_03,kmeans_standardized_geometry_v1
fflzm764,domain_01,kmeans_standardized_geometry_v1
jwtektsg,domain_06,kmeans_standardized_geometry_v1
7fxzv4u3,domain_01,kmeans_standardized_geometry_v1
bbxux1ox,domain_01,kmeans_standardized_geometry_v1
rwk8r2yk,domain_01,kmeans_standardized_geometry_v1
ccprhvlz,domain_01,kmeans_standardized_geometry_v1
049enulq,domain_01,kmeans_standardized_geometry_v1
jidknwi5,domain_03,kmeans_standardized_geometry_v1
flul1rsr,domain_01,kmeans_standardized_geometry_v1
la8s8hmb,domain_01,kmeans_standardized_geometry_v1
r5xqt4p5,domain_03,kmeans_standardized_geometry_v1
01nouhtc,domain_03,kmeans_standardized_geometry_v1
s1k9ye9o,domain_03,kmeans_standardized_geometry_v1
2m71hssb,domain_01,kmeans_standardized_geometry_v1
elrqvslw,domain_03,kmeans_standardized_geometry_v1
f90km3tz,domain_03,kmeans_standardized_geometry_v1
k3ny9v20,domain_03,kmeans_standardized_geometry_v1
yar821uz,domain_03,kmeans_standardized_geometry_v1
vgww4fyb,domain_05,kmeans_standardized_geometry_v1
8dalfyo1,domain_03,kmeans_standardized_geometry_v1
750cehlx,domain_03,kmeans_standardized_geometry_v1
slg6mm1z,domain_03,kmeans_standardized_geometry_v1
xyvgiui9,domain_01,kmeans_standardized_geometry_v1
kkhzlm72,domain_03,kmeans_standardized_geometry_v1
jeyn9382,domain_01,kmeans_standardized_geometry_v1
kkzmpjrh,domain_01,kmeans_standardized_geometry_v1
t7zewviy,domain_01,kmeans_standardized_geometry_v1
twbozd1a,domain_01,kmeans_standardized_geometry_v1
t7o75rh8,domain_03,kmeans_standardized_geometry_v1
lx6dut07,domain_01,kmeans_standardized_geometry_v1
6g5g79or,domain_01,kmeans_standardized_geometry_v1
7875aud9,domain_01,kmeans_standardized_geometry_v1
k9tr74qg,domain_01,kmeans_standardized_geometry_v1
efqjg02u,domain_03,kmeans_standardized_geometry_v1
1g463sdy,domain_03,kmeans_standardized_geometry_v1
gfliji18,domain_05,kmeans_standardized_geometry_v1
k0axycel,domain_05,kmeans_standardized_geometry_v1
os6zle6k,domain_05,kmeans_standardized_geometry_v1
whef0vot,domain_05,kmeans_standardized_geometry_v1
qtxhi15c,domain_05,kmeans_standardized_geometry_v1
qzcuctsu,domain_05,kmeans_standardized_geometry_v1
flsehuds,domain_05,kmeans_standardized_geometry_v1
3qsqcq30,domain_05,kmeans_standardized_geometry_v1
o30ubmc9,domain_05,kmeans_standardized_geometry_v1
7c7bo119,domain_05,kmeans_standardized_geometry_v1
xp9n56ny,domain_05,kmeans_standardized_geometry_v1
xtxmgtt0,domain_05,kmeans_standardized_geometry_v1
iaakytt3,domain_05,kmeans_standardized_geometry_v1
imj70e3p,domain_05,kmeans_standardized_geometry_v1
15ahdbvz,domain_05,kmeans_standardized_geometry_v1
b0oih5cs,domain_05,kmeans_standardized_geometry_v1
k30lvylk,domain_05,kmeans_standardized_geometry_v1
fxhkc856,domain_05,kmeans_standardized_geometry_v1
wpr97y2l,domain_05,kmeans_standardized_geometry_v1
ofn1r4kz,domain_05,kmeans_standardized_geometry_v1
36u8ueih,domain_05,kmeans_standardized_geometry_v1
x74d0gjy,domain_05,kmeans_standardized_geometry_v1
v5g10ur5,domain_05,kmeans_standardized_geometry_v1
l8a78e9r,domain_05,kmeans_standardized_geometry_v1
ivh6t1nt,domain_05,kmeans_standardized_geometry_v1
mjsrd9q4,domain_05,kmeans_standardized_geometry_v1
6nouhfj7,domain_05,kmeans_standardized_geometry_v1
upfln4rx,domain_05,kmeans_standardized_geometry_v1
yj38xrg2,domain_05,kmeans_standardized_geometry_v1
gzr7txcb,domain_05,kmeans_standardized_geometry_v1
48y1o4iz,domain_05,kmeans_standardized_geometry_v1
asnwywrr,domain_05,kmeans_standardized_geometry_v1
atatj9a3,domain_05,kmeans_standardized_geometry_v1
y36ddfgs,domain_05,kmeans_standardized_geometry_v1
3jonou9i,domain_05,kmeans_standardized_geometry_v1
y4x41dnt,domain_05,kmeans_standardized_geometry_v1
cagrp2u4,domain_05,kmeans_standardized_geometry_v1
dtbh55rb,domain_05,kmeans_standardized_geometry_v1
c76ub7l8,domain_05,kmeans_standardized_geometry_v1
v1zocfi4,domain_05,kmeans_standardized_geometry_v1
o6l1f90s,domain_05,kmeans_standardized_geometry_v1
9bp4m18o,domain_05,kmeans_standardized_geometry_v1
1bj9rm7p,domain_05,kmeans_standardized_geometry_v1
yxdw2zcf,domain_05,kmeans_standardized_geometry_v1
zw0ldalm,domain_05,kmeans_standardized_geometry_v1
jegqtoam,domain_05,kmeans_standardized_geometry_v1
dvlnknd6,domain_05,kmeans_standardized_geometry_v1
69ugnekr,domain_05,kmeans_standardized_geometry_v1
cpprcjiw,domain_05,kmeans_standardized_geometry_v1
vhdk8lw2,domain_05,kmeans_standardized_geometry_v1
lm349el8,domain_05,kmeans_standardized_geometry_v1
hl88kzru,domain_05,kmeans_standardized_geometry_v1
in3oeuvt,domain_05,kmeans_standardized_geometry_v1
yt8qzpky,domain_05,kmeans_standardized_geometry_v1
32orwixz,domain_05,kmeans_standardized_geometry_v1
2c9ros7y,domain_05,kmeans_standardized_geometry_v1
t2m6twd1,domain_05,kmeans_standardized_geometry_v1
xmxb9yo1,domain_05,kmeans_standardized_geometry_v1
8pajssuu,domain_05,kmeans_standardized_geometry_v1
qo1vsmad,domain_05,kmeans_standardized_geometry_v1
o8e7flqh,domain_05,kmeans_standardized_geometry_v1
rrpzlk3e,domain_05,kmeans_standardized_geometry_v1
4xyf9igf,domain_05,kmeans_standardized_geometry_v1
u8iogxpb,domain_05,kmeans_standardized_geometry_v1
whvnzh13,domain_05,kmeans_standardized_geometry_v1
cd5glqj5,domain_05,kmeans_standardized_geometry_v1
sxvwvm4w,domain_05,kmeans_standardized_geometry_v1
3zkwdeek,domain_05,kmeans_standardized_geometry_v1
gyspengw,domain_05,kmeans_standardized_geometry_v1
yx9trflq,domain_05,kmeans_standardized_geometry_v1
bmae38sr,domain_05,kmeans_standardized_geometry_v1
yo4rcb1k,domain_05,kmeans_standardized_geometry_v1
jtgq01te,domain_05,kmeans_standardized_geometry_v1
e13n3bzt,domain_05,kmeans_standardized_geometry_v1
9d31k9qm,domain_05,kmeans_standardized_geometry_v1
3p91i3vm,domain_05,kmeans_standardized_geometry_v1
zwffhhcm,domain_05,kmeans_standardized_geometry_v1
ktlzkj49,domain_05,kmeans_standardized_geometry_v1
yd82795e,domain_05,kmeans_standardized_geometry_v1
5iz31yru,domain_05,kmeans_standardized_geometry_v1
joqw5dsk,domain_05,kmeans_standardized_geometry_v1
7n8la100,domain_05,kmeans_standardized_geometry_v1
qxmcthph,domain_05,kmeans_standardized_geometry_v1
j3muurmy,domain_05,kmeans_standardized_geometry_v1
bd2qe4pa,domain_05,kmeans_standardized_geometry_v1
8hyexf7j,domain_05,kmeans_standardized_geometry_v1
xjn6fokz,domain_05,kmeans_standardized_geometry_v1
ixzareiy,domain_05,kmeans_standardized_geometry_v1
az39pecn,domain_05,kmeans_standardized_geometry_v1
0dl5e11e,domain_05,kmeans_standardized_geometry_v1
9ftaxp0w,domain_05,kmeans_standardized_geometry_v1
foy4dd1v,domain_05,kmeans_standardized_geometry_v1
n8lfjdtv,domain_05,kmeans_standardized_geometry_v1
v2y4xkss,domain_05,kmeans_standardized_geometry_v1
0kb68rer,domain_05,kmeans_standardized_geometry_v1
vt997e4u,domain_05,kmeans_standardized_geometry_v1
ny181acj,domain_05,kmeans_standardized_geometry_v1
bc2swsoz,domain_05,kmeans_standardized_geometry_v1
ctwjlsh3,domain_05,kmeans_standardized_geometry_v1
tow4ycz0,domain_05,kmeans_standardized_geometry_v1
4cdpqvl0,domain_05,kmeans_standardized_geometry_v1
0ezzf8s2,domain_05,kmeans_standardized_geometry_v1
zge2j51b,domain_05,kmeans_standardized_geometry_v1
3jczucqm,domain_05,kmeans_standardized_geometry_v1
runjdu0i,domain_05,kmeans_standardized_geometry_v1
sb5iqnf7,domain_05,kmeans_standardized_geometry_v1
4t60ploz,domain_05,kmeans_standardized_geometry_v1
jcns6g29,domain_05,kmeans_standardized_geometry_v1
8cqk4lta,domain_05,kmeans_standardized_geometry_v1
hukwqvr1,domain_05,kmeans_standardized_geometry_v1
h61iaoim,domain_05,kmeans_standardized_geometry_v1
458ax40d,domain_05,kmeans_standardized_geometry_v1
tirc9zd7,domain_05,kmeans_standardized_geometry_v1
6szn9dde,domain_05,kmeans_standardized_geometry_v1
3cup8ijl,domain_05,kmeans_standardized_geometry_v1
2z0ljch2,domain_05,kmeans_standardized_geometry_v1
vffqot8h,domain_05,kmeans_standardized_geometry_v1
ljefy3zb,domain_05,kmeans_standardized_geometry_v1
4ldimsyj,domain_05,kmeans_standardized_geometry_v1
9boq0iq2,domain_05,kmeans_standardized_geometry_v1
fa39e3nw,domain_05,kmeans_standardized_geometry_v1
xuj3ac6p,domain_05,kmeans_standardized_geometry_v1
e63lbqgu,domain_05,kmeans_standardized_geometry_v1
3obyghgk,domain_05,kmeans_standardized_geometry_v1
5bwikotc,domain_05,kmeans_standardized_geometry_v1
keh5sw22,domain_05,kmeans_standardized_geometry_v1
92mtr6sn,domain_05,kmeans_standardized_geometry_v1
glh62c9t,domain_05,kmeans_standardized_geometry_v1
199dxj37,domain_05,kmeans_standardized_geometry_v1
c9h42m44,domain_05,kmeans_standardized_geometry_v1
gv3z6bz8,domain_05,kmeans_standardized_geometry_v1
uug95rlr,domain_05,kmeans_standardized_geometry_v1
dihsa7he,domain_05,kmeans_standardized_geometry_v1
z74lav71,domain_05,kmeans_standardized_geometry_v1
448n7odk,domain_05,kmeans_standardized_geometry_v1
ef828xg8,domain_05,kmeans_standardized_geometry_v1
y72ivgly,domain_05,kmeans_standardized_geometry_v1
e088o98b,domain_05,kmeans_standardized_geometry_v1
v78hu7f0,domain_05,kmeans_standardized_geometry_v1
i9g5dzx5,domain_05,kmeans_standardized_geometry_v1
qjicjdan,domain_05,kmeans_standardized_geometry_v1
085rntdr,domain_05,kmeans_standardized_geometry_v1
5xyfc4kl,domain_05,kmeans_standardized_geometry_v1
8cgn0t6d,domain_05,kmeans_standardized_geometry_v1
vwrb7f6f,domain_05,kmeans_standardized_geometry_v1
dhgzz0jk,domain_05,kmeans_standardized_geometry_v1
ibu4fmpk,domain_05,kmeans_standardized_geometry_v1
xvhagkc4,domain_05,kmeans_standardized_geometry_v1
lorxdtg5,domain_05,kmeans_standardized_geometry_v1
nqjqijc1,domain_05,kmeans_standardized_geometry_v1
ydmt8vt4,domain_05,kmeans_standardized_geometry_v1
3pt5r5rc,domain_05,kmeans_standardized_geometry_v1
6zs62ywe,domain_05,kmeans_standardized_geometry_v1
1g983ep9,domain_05,kmeans_standardized_geometry_v1
p9w4j66c,domain_05,kmeans_standardized_geometry_v1
noljq52w,domain_05,kmeans_standardized_geometry_v1
spofv177,domain_05,kmeans_standardized_geometry_v1
udktmonr,domain_05,kmeans_standardized_geometry_v1
vbjfvyb6,domain_05,kmeans_standardized_geometry_v1
li076a3k,domain_05,kmeans_standardized_geometry_v1
krzd5e9p,domain_05,kmeans_standardized_geometry_v1
3jpxgh30,domain_05,kmeans_standardized_geometry_v1
153sflse,domain_05,kmeans_standardized_geometry_v1
45bg34iq,domain_05,kmeans_standardized_geometry_v1
7zj3sweb,domain_05,kmeans_standardized_geometry_v1
nvg5vmf6,domain_05,kmeans_standardized_geometry_v1
0yknfu84,domain_05,kmeans_standardized_geometry_v1
xyjoa21a,domain_05,kmeans_standardized_geometry_v1
6xvaj2k8,domain_05,kmeans_standardized_geometry_v1
xpnmjqy3,domain_05,kmeans_standardized_geometry_v1
odsx4nxv,domain_05,kmeans_standardized_geometry_v1
kdc9x5jz,domain_05,kmeans_standardized_geometry_v1
6kf1622v,domain_05,kmeans_standardized_geometry_v1
xyzx9jpn,domain_05,kmeans_standardized_geometry_v1
bzug0it2,domain_05,kmeans_standardized_geometry_v1
6ys445gd,domain_05,kmeans_standardized_geometry_v1
ej31gymd,domain_05,kmeans_standardized_geometry_v1
m0l2ljk4,domain_05,kmeans_standardized_geometry_v1
q5v7c6s5,domain_05,kmeans_standardized_geometry_v1
nkb4ehou,domain_05,kmeans_standardized_geometry_v1
6qlz2rwg,domain_05,kmeans_standardized_geometry_v1
waj1g1r1,domain_05,kmeans_standardized_geometry_v1
dwwo8nbh,domain_05,kmeans_standardized_geometry_v1
nal3gywi,domain_05,kmeans_standardized_geometry_v1
ymenvg3k,domain_05,kmeans_standardized_geometry_v1
k0vm59m6,domain_05,kmeans_standardized_geometry_v1
mg87oi0e,domain_05,kmeans_standardized_geometry_v1
0vgnxb5j,domain_05,kmeans_standardized_geometry_v1
tb9xxayp,domain_05,kmeans_standardized_geometry_v1
ntrfzwkx,domain_05,kmeans_standardized_geometry_v1
xjve3dze,domain_05,kmeans_standardized_geometry_v1
edhhjshz,domain_05,kmeans_standardized_geometry_v1
kbrh7lay,domain_05,kmeans_standardized_geometry_v1
64yfds0d,domain_05,kmeans_standardized_geometry_v1
ji9kqdgb,domain_05,kmeans_standardized_geometry_v1
k2l0d1b4,domain_05,kmeans_standardized_geometry_v1
xgmpw5d3,domain_05,kmeans_standardized_geometry_v1
go8jn42x,domain_05,kmeans_standardized_geometry_v1
2ezc7fov,domain_05,kmeans_standardized_geometry_v1
2ygnmby4,domain_05,kmeans_standardized_geometry_v1
9e7eobjl,domain_05,kmeans_standardized_geometry_v1
zy1uu9ym,domain_05,kmeans_standardized_geometry_v1
szdximyn,domain_05,kmeans_standardized_geometry_v1
4u9bxf44,domain_05,kmeans_standardized_geometry_v1
5cri8bix,domain_05,kmeans_standardized_geometry_v1
oiq2q4qe,domain_05,kmeans_standardized_geometry_v1
rxdouadv,domain_05,kmeans_standardized_geometry_v1
ei3zrrhf,domain_07,kmeans_standardized_geometry_v1
4abufwbu,domain_07,kmeans_standardized_geometry_v1
cjg8vuaz,domain_07,kmeans_standardized_geometry_v1
xkdq95g3,domain_07,kmeans_standardized_geometry_v1
v23gxj0m,domain_07,kmeans_standardized_geometry_v1
qvindh4s,domain_07,kmeans_standardized_geometry_v1
pfdrwb2s,domain_07,kmeans_standardized_geometry_v1
erev361x,domain_07,kmeans_standardized_geometry_v1
snbti22n,domain_07,kmeans_standardized_geometry_v1
v01zderi,domain_07,kmeans_standardized_geometry_v1
4k5ogz2u,domain_07,kmeans_standardized_geometry_v1
eaxylnfx,domain_07,kmeans_standardized_geometry_v1
j4pnjy1o,domain_07,kmeans_standardized_geometry_v1
2rntjlmz,domain_07,kmeans_standardized_geometry_v1
04x0qzfh,domain_07,kmeans_standardized_geometry_v1
omtzzf8a,domain_07,kmeans_standardized_geometry_v1
df7pchcb,domain_07,kmeans_standardized_geometry_v1
n9wszv83,domain_07,kmeans_standardized_geometry_v1
xphx2kbv,domain_07,kmeans_standardized_geometry_v1
sigbiaf9,domain_07,kmeans_standardized_geometry_v1
2movs0cd,domain_07,kmeans_standardized_geometry_v1
k36m8jvh,domain_07,kmeans_standardized_geometry_v1
7ujodck8,domain_07,kmeans_standardized_geometry_v1
2853uy8u,domain_07,kmeans_standardized_geometry_v1
118qqvae,domain_07,kmeans_standardized_geometry_v1
cw9yil8s,domain_07,kmeans_standardized_geometry_v1
a3idy3c7,domain_07,kmeans_standardized_geometry_v1
rm6j8y6r,domain_07,kmeans_standardized_geometry_v1
h05hhiwf,domain_07,kmeans_standardized_geometry_v1
d7yxw1tb,domain_07,kmeans_standardized_geometry_v1
rwr965r9,domain_07,kmeans_standardized_geometry_v1
6khub2rt,domain_07,kmeans_standardized_geometry_v1
soyg9zqy,domain_07,kmeans_standardized_geometry_v1
ahulwjti,domain_07,kmeans_standardized_geometry_v1
qwnrhzn4,domain_07,kmeans_standardized_geometry_v1
kgeuidji,domain_07,kmeans_standardized_geometry_v1
pnf8f3gr,domain_07,kmeans_standardized_geometry_v1
94sz2kuu,domain_07,kmeans_standardized_geometry_v1
oyc3rwqm,domain_07,kmeans_standardized_geometry_v1
mu7jae58,domain_07,kmeans_standardized_geometry_v1
huxg2myr,domain_07,kmeans_standardized_geometry_v1
06nkwfg3,domain_07,kmeans_standardized_geometry_v1
mwu4cfil,domain_07,kmeans_standardized_geometry_v1
kjxjq5nv,domain_07,kmeans_standardized_geometry_v1
8oga0x7z,domain_07,kmeans_standardized_geometry_v1
cgdc5tao,domain_07,kmeans_standardized_geometry_v1
1cjfx5li,domain_07,kmeans_standardized_geometry_v1
kwe4bx4l,domain_07,kmeans_standardized_geometry_v1
r9tjq8zg,domain_07,kmeans_standardized_geometry_v1
vwwusxlm,domain_07,kmeans_standardized_geometry_v1
t2pnjka3,domain_07,kmeans_standardized_geometry_v1
4mqa78ra,domain_07,kmeans_standardized_geometry_v1
pkianouo,domain_07,kmeans_standardized_geometry_v1
f0onjpi1,domain_07,kmeans_standardized_geometry_v1
63yk03o4,domain_07,kmeans_standardized_geometry_v1
gkwwjwga,domain_07,kmeans_standardized_geometry_v1
btgdjz0i,domain_07,kmeans_standardized_geometry_v1
frml29q2,domain_07,kmeans_standardized_geometry_v1
l48c1cqg,domain_07,kmeans_standardized_geometry_v1
433e1i1p,domain_07,kmeans_standardized_geometry_v1
0bq1s9ry,domain_07,kmeans_standardized_geometry_v1
llwb7sjw,domain_07,kmeans_standardized_geometry_v1
h55hewlg,domain_07,kmeans_standardized_geometry_v1
je2ab2rv,domain_07,kmeans_standardized_geometry_v1
ndfdw79w,domain_07,kmeans_standardized_geometry_v1
cxz2ei92,domain_07,kmeans_standardized_geometry_v1
12pgyme6,domain_07,kmeans_standardized_geometry_v1
rpkzggm0,domain_07,kmeans_standardized_geometry_v1
j36tcfkj,domain_07,kmeans_standardized_geometry_v1
nawnga41,domain_07,kmeans_standardized_geometry_v1
izxtnsrt,domain_07,kmeans_standardized_geometry_v1
wlxdsc4e,domain_07,kmeans_standardized_geometry_v1
5hrdu4xs,domain_07,kmeans_standardized_geometry_v1
zjnvc7hr,domain_07,kmeans_standardized_geometry_v1
6c2cu7on,domain_07,kmeans_standardized_geometry_v1
z3jbck88,domain_07,kmeans_standardized_geometry_v1
d0tgsiwg,domain_07,kmeans_standardized_geometry_v1
0odwmqx5,domain_07,kmeans_standardized_geometry_v1
ggomf9pm,domain_07,kmeans_standardized_geometry_v1
l9ln1p0v,domain_07,kmeans_standardized_geometry_v1
uh17j8qo,domain_07,kmeans_standardized_geometry_v1
09vs9kkh,domain_07,kmeans_standardized_geometry_v1
4a3yjtu7,domain_07,kmeans_standardized_geometry_v1
fbmenui3,domain_07,kmeans_standardized_geometry_v1
do7002g3,domain_07,kmeans_standardized_geometry_v1
yu6vk0uc,domain_07,kmeans_standardized_geometry_v1
c1m3o55i,domain_07,kmeans_standardized_geometry_v1
xva1nkbt,domain_07,kmeans_standardized_geometry_v1
fshb0oqv,domain_07,kmeans_standardized_geometry_v1
shkoecub,domain_07,kmeans_standardized_geometry_v1
ods1eeur,domain_07,kmeans_standardized_geometry_v1
xhw0ic1l,domain_07,kmeans_standardized_geometry_v1
7dypmlva,domain_07,kmeans_standardized_geometry_v1
k9w9pfb3,domain_07,kmeans_standardized_geometry_v1
hn14eb87,domain_07,kmeans_standardized_geometry_v1
53ayeqah,domain_07,kmeans_standardized_geometry_v1
thsjr0fz,domain_07,kmeans_standardized_geometry_v1
auxbgk2w,domain_07,kmeans_standardized_geometry_v1
bxanj4x5,domain_07,kmeans_standardized_geometry_v1
a5xin9dl,domain_07,kmeans_standardized_geometry_v1
5tgsq7ai,domain_07,kmeans_standardized_geometry_v1
tmofmmwi,domain_07,kmeans_standardized_geometry_v1
9s3w563b,domain_07,kmeans_standardized_geometry_v1
